epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.73617,2.11074,8.56349,2.00008,0,0,0,0,1.6265,4.48535,1.51836,0.00048343,0.00048343,0.00048343
2,11.1438,1.74553,5.94156,1.59401,0.00243,0.25,0.19135,0.07349,1.5557,3.74614,1.49961,0.000973801,0.000973801,0.000973801
3,16.5238,1.7676,5.39081,1.58216,0.79069,0.125,0.17687,0.07913,1.46966,3.24354,1.5089,0.00145428,0.00145428,0.00145428
4,21.8032,1.71234,5.12764,1.57382,0.81904,0.09801,0.18721,0.0828,1.50052,2.92374,1.62571,0.00161753,0.00161753,0.00161753
5,27.0676,1.65715,4.43217,1.59658,0.71831,0.29167,0.22665,0.09081,1.63972,2.69932,1.76057,0.00160104,0.00160104,0.00160104
6,32.325,1.63769,4.17648,1.48748,0.74974,0.38811,0.30551,0.12371,1.51389,2.9154,1.57593,0.00158455,0.00158455,0.00158455
7,37.4826,1.61594,4.2212,1.5031,0.66685,0.22222,0.14735,0.0698,1.48342,2.60463,1.53942,0.00156806,0.00156806,0.00156806
8,42.6008,1.63385,3.57027,1.56272,0.76472,0.27778,0.28401,0.13886,1.51599,2.32149,1.69932,0.00155157,0.00155157,0.00155157
9,47.751,1.59848,3.25623,1.50684,0.79251,0.27419,0.26898,0.10571,1.49603,2.2993,1.60682,0.00153507,0.00153507,0.00153507
10,52.9574,1.667,3.36706,1.60179,0.30513,0.34028,0.30745,0.13389,1.48252,1.82672,1.64948,0.00151858,0.00151858,0.00151858
11,58.0678,1.63646,3.15366,1.54116,0.81266,0.26389,0.30342,0.14488,1.459,1.56594,1.65424,0.00150209,0.00150209,0.00150209
12,63.2,1.59723,3.04772,1.49676,0.88234,0.36108,0.37573,0.1826,1.48325,1.34176,1.64488,0.0014856,0.0014856,0.0014856
13,68.3529,1.54937,2.75471,1.48307,0.32616,0.34722,0.30907,0.14479,1.49155,1.49893,1.65873,0.00146911,0.00146911,0.00146911
14,73.4898,1.53194,2.66085,1.47293,0.44646,0.39033,0.39876,0.19362,1.45719,1.49657,1.64954,0.00145262,0.00145262,0.00145262
15,78.6253,1.52768,2.65626,1.50897,0.40592,0.48611,0.4127,0.19958,1.42613,1.49973,1.6397,0.00143613,0.00143613,0.00143613
16,83.7578,1.49978,2.57196,1.49372,0.44531,0.57639,0.43581,0.19668,1.45101,1.3726,1.62768,0.00141964,0.00141964,0.00141964
17,88.8663,1.57332,2.48661,1.51202,0.46478,0.57639,0.50096,0.25054,1.35592,1.25663,1.61899,0.00140315,0.00140315,0.00140315
18,94.0179,1.5272,2.37431,1.51765,0.33484,0.46528,0.38415,0.16053,1.59672,1.37878,1.79371,0.00138666,0.00138666,0.00138666
19,99.0189,1.59935,2.30761,1.55334,0.48556,0.55502,0.52443,0.26206,1.3731,1.18116,1.62631,0.00137017,0.00137017,0.00137017
20,104.071,1.56904,2.30851,1.52992,0.37141,0.40278,0.38851,0.16657,1.46765,1.38995,1.71667,0.00135368,0.00135368,0.00135368
21,109.097,1.52571,2.25369,1.47179,0.512,0.56118,0.51497,0.24401,1.39335,1.11695,1.61361,0.00133719,0.00133719,0.00133719
22,114.201,1.50406,2.0393,1.4375,0.90532,0.38889,0.45399,0.20446,1.39886,1.34594,1.63091,0.0013207,0.0013207,0.0013207
23,119.197,1.4911,2.01626,1.4316,0.40107,0.4961,0.51402,0.23128,1.38661,1.23167,1.56752,0.00130421,0.00130421,0.00130421
24,124.238,1.48538,1.88323,1.39272,0.30501,0.75694,0.49366,0.24743,1.3963,1.27258,1.57782,0.00128772,0.00128772,0.00128772
25,129.267,1.47428,2.0134,1.44893,0.54063,0.48485,0.46979,0.21156,1.3852,1.25647,1.59202,0.00127122,0.00127122,0.00127122
26,134.274,1.49967,1.84672,1.51857,0.6969,0.59028,0.65224,0.26159,1.3268,1.07052,1.57485,0.00125473,0.00125473,0.00125473
27,139.395,1.49605,1.77953,1.53058,0.50614,0.63194,0.68837,0.29243,1.31898,1.02705,1.56731,0.00123824,0.00123824,0.00123824
28,144.434,1.47133,1.86092,1.47402,0.54584,0.59028,0.61085,0.30379,1.30046,1.09151,1.5457,0.00122175,0.00122175,0.00122175
29,149.484,1.44352,1.66568,1.41757,0.50968,0.64583,0.61092,0.27077,1.28855,1.03184,1.5524,0.00120526,0.00120526,0.00120526
30,154.475,1.43599,1.70273,1.4309,0.63293,0.6038,0.65287,0.31153,1.29906,1.04441,1.54942,0.00118877,0.00118877,0.00118877
31,159.489,1.40162,1.63829,1.39784,0.83595,0.61348,0.70195,0.33391,1.30779,1.21526,1.52888,0.00117228,0.00117228,0.00117228
32,164.543,1.42299,1.6048,1.44303,0.57356,0.70574,0.68125,0.36097,1.24393,0.98354,1.50032,0.00115579,0.00115579,0.00115579
33,169.592,1.44635,1.59167,1.45925,0.84943,0.36111,0.36248,0.13596,1.72905,1.49843,1.96837,0.0011393,0.0011393,0.0011393
34,174.819,1.40677,1.69011,1.47095,0.48039,0.50694,0.49062,0.23795,1.46542,1.01479,1.68108,0.00112281,0.00112281,0.00112281
35,179.814,1.39941,1.58952,1.40578,0.4681,0.56944,0.51154,0.2407,1.50325,1.27981,1.74558,0.00110632,0.00110632,0.00110632
36,184.83,1.42226,1.57514,1.39477,0.51861,0.60417,0.54862,0.31549,1.30214,0.93844,1.55911,0.00108983,0.00108983,0.00108983
37,189.835,1.31511,1.47542,1.35472,0.49932,0.73611,0.61562,0.33737,1.14895,0.86781,1.44838,0.00107334,0.00107334,0.00107334
38,194.891,1.37599,1.55671,1.42908,0.62115,0.92361,0.76242,0.3822,1.16112,0.87747,1.45058,0.00105685,0.00105685,0.00105685
39,200.01,1.39348,1.55619,1.42944,0.55196,0.74306,0.72859,0.39386,1.10926,0.88124,1.4345,0.00104036,0.00104036,0.00104036
40,205.135,1.34374,1.48269,1.39638,0.64933,0.80556,0.71815,0.38767,1.12221,0.84083,1.43903,0.00102387,0.00102387,0.00102387
41,210.255,1.3443,1.58718,1.4114,0.5542,0.59722,0.66405,0.34203,1.21183,0.91946,1.4838,0.00100737,0.00100737,0.00100737
42,215.352,1.36271,1.47499,1.4014,0.77422,0.6588,0.76826,0.3763,1.16777,0.95152,1.45353,0.000990884,0.000990884,0.000990884
43,220.524,1.32267,1.50403,1.35611,0.68975,0.63889,0.66635,0.3591,1.21374,0.90343,1.4707,0.000974394,0.000974394,0.000974394
44,225.666,1.35375,1.4554,1.38625,0.70802,0.74383,0.73869,0.40785,1.13601,0.81717,1.4281,0.000957903,0.000957903,0.000957903
45,230.799,1.33148,1.42251,1.34824,0.68057,0.73611,0.78072,0.42552,1.197,0.93242,1.44537,0.000941412,0.000941412,0.000941412
46,235.922,1.28869,1.31261,1.34691,0.51829,0.86111,0.75932,0.42898,1.08332,0.84106,1.39652,0.000924922,0.000924922,0.000924922
47,241.013,1.22837,1.31167,1.32079,0.63516,0.56281,0.5958,0.29247,1.28805,0.94193,1.54611,0.000908431,0.000908431,0.000908431
48,246.118,1.2432,1.35249,1.31323,0.76557,0.70203,0.73481,0.3768,1.2193,0.8252,1.5044,0.00089194,0.00089194,0.00089194
49,251.228,1.30126,1.37348,1.3907,0.65873,0.78472,0.74718,0.39889,1.14528,0.77454,1.42383,0.00087545,0.00087545,0.00087545
50,256.459,1.26952,1.33115,1.34536,0.79398,0.82937,0.81385,0.45354,1.10911,0.75143,1.40183,0.000858959,0.000858959,0.000858959
51,261.594,1.30587,1.3762,1.35133,0.6558,0.8937,0.72139,0.40975,1.17359,0.79528,1.44631,0.000842468,0.000842468,0.000842468
52,266.68,1.26288,1.29393,1.32984,0.84827,0.67882,0.76852,0.43704,1.11041,0.8151,1.38154,0.000825978,0.000825978,0.000825978
53,271.716,1.27302,1.25379,1.36832,0.80556,0.74306,0.79173,0.4082,1.16269,0.82153,1.42465,0.000809487,0.000809487,0.000809487
54,276.743,1.20969,1.23853,1.32527,0.8269,0.78478,0.87976,0.45795,1.0966,0.74137,1.38427,0.000792997,0.000792997,0.000792997
55,281.775,1.28982,1.33012,1.34698,0.74159,0.76904,0.8458,0.41894,1.14563,0.76078,1.4453,0.000776506,0.000776506,0.000776506
56,286.791,1.21411,1.15536,1.31941,0.95218,0.81236,0.91243,0.48577,1.07174,0.73624,1.37789,0.000760015,0.000760015,0.000760015
57,291.838,1.20179,1.1903,1.31732,0.7668,0.79167,0.85001,0.46044,1.04709,0.77505,1.34547,0.000743525,0.000743525,0.000743525
58,296.94,1.24825,1.25471,1.31892,0.73381,0.79861,0.84649,0.48868,1.03857,0.70664,1.33518,0.000727034,0.000727034,0.000727034
59,302.005,1.23894,1.23345,1.32846,0.81823,0.95833,0.86887,0.52043,0.99769,0.70164,1.31189,0.000710543,0.000710543,0.000710543
60,307.102,1.17021,1.16216,1.26267,0.73344,0.79861,0.82494,0.51831,1.0251,0.70098,1.3224,0.000694053,0.000694053,0.000694053
61,312.135,1.15774,1.15265,1.28188,0.97679,0.66402,0.84312,0.47853,1.07735,0.74801,1.35804,0.000677562,0.000677562,0.000677562
62,317.182,1.20663,1.16148,1.3339,0.67585,0.9046,0.8631,0.48513,1.00173,0.75022,1.31127,0.000661072,0.000661072,0.000661072
63,322.203,1.22151,1.18228,1.29623,0.82787,0.85648,0.89843,0.47405,0.99806,0.70827,1.31493,0.000644581,0.000644581,0.000644581
64,327.216,1.16623,1.0983,1.26682,0.83544,0.89583,0.9366,0.56308,0.93218,0.65822,1.29399,0.00062809,0.00062809,0.00062809
65,332.27,1.16496,1.09844,1.27433,0.88499,0.75316,0.8877,0.51738,1.04637,0.70984,1.36223,0.0006116,0.0006116,0.0006116
66,337.384,1.14403,1.18059,1.29628,0.81646,0.80268,0.86818,0.50482,1.04137,0.72948,1.34708,0.000595109,0.000595109,0.000595109
67,342.406,1.17097,1.07165,1.28596,0.77073,0.89117,0.89187,0.52185,0.96545,0.68546,1.29959,0.000578618,0.000578618,0.000578618
68,347.461,1.17182,1.10041,1.2816,0.68241,0.89583,0.81792,0.49891,0.99915,0.6933,1.32276,0.000562128,0.000562128,0.000562128
69,352.489,1.10922,1.10419,1.22727,0.92988,0.7197,0.8936,0.52086,0.93592,0.67809,1.2675,0.000545637,0.000545637,0.000545637
70,357.524,1.12013,1.04986,1.26297,0.8266,0.77703,0.87108,0.55393,0.92937,0.64076,1.26327,0.000529146,0.000529146,0.000529146
71,362.557,1.05237,0.96237,1.21555,0.81707,0.7747,0.82019,0.49035,0.99178,0.70445,1.28723,0.000512656,0.000512656,0.000512656
72,367.596,1.17949,1.07496,1.2819,0.81421,0.80925,0.90141,0.51848,1.00691,0.65562,1.30271,0.000496165,0.000496165,0.000496165
73,372.71,1.10887,1.00955,1.23165,0.80086,0.87793,0.92292,0.58286,0.94608,0.62029,1.27282,0.000479675,0.000479675,0.000479675
74,377.775,1.0898,0.95155,1.25631,0.83309,0.88936,0.93893,0.59191,0.94269,0.61973,1.27125,0.000463184,0.000463184,0.000463184
75,382.806,1.09222,0.96782,1.23585,0.8837,0.97222,0.96159,0.56704,0.92086,0.60132,1.25826,0.000446693,0.000446693,0.000446693
76,387.82,1.04718,0.98875,1.21235,0.8878,0.90556,0.95434,0.54754,0.94263,0.59375,1.28445,0.000430203,0.000430203,0.000430203
77,392.858,1.08791,0.95098,1.24961,0.68445,0.82725,0.78793,0.49805,0.97106,0.6238,1.32111,0.000413712,0.000413712,0.000413712
78,397.896,1.07321,1.03523,1.24692,0.96237,0.84235,0.94916,0.52946,0.92184,0.60967,1.2924,0.000397221,0.000397221,0.000397221
79,402.929,1.14273,0.99848,1.26243,0.88703,0.84823,0.9186,0.52423,0.95962,0.60485,1.31946,0.000380731,0.000380731,0.000380731
80,407.987,1.09165,0.94662,1.22545,0.84071,0.98611,0.93902,0.55662,0.91477,0.58375,1.27431,0.00036424,0.00036424,0.00036424
81,413.045,1.01093,0.942,1.18026,0.84321,0.95075,0.93665,0.55602,0.91448,0.58572,1.27125,0.00034775,0.00034775,0.00034775
82,418.069,0.9985,0.86173,1.19211,0.85414,0.91108,0.95284,0.63925,0.83,0.56083,1.20952,0.000331259,0.000331259,0.000331259
