epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5411,2.00256,6.03869,2.13549,0.72245,0.15594,0.19334,0.08764,2.10838,2.86245,2.89324,0.067802,0.000995816,0.000995816
2,85.6173,2.07212,3.83642,2.20657,0.07164,0.06944,0.01823,0.00518,2.74459,6.62257,6.1657,0.0354554,0.00198264,0.00198264
3,128.845,2.02353,3.59715,2.17752,0.57451,0.15278,0.06853,0.03276,1.99786,17.1886,2.77662,0.00309574,0.00295627,0.00295627
4,171.888,1.97982,3.42228,2.09316,0.08029,0.16667,0.06603,0.02833,2.03443,40.6776,2.66421,0.0029406,0.0029406,0.0029406
5,215.459,1.81224,3.22947,1.96435,0.62805,0.19444,0.15164,0.06089,2.00756,3.46117,2.5573,0.0029208,0.0029208,0.0029208
6,259.027,1.99485,3.65595,2.18939,0,0,0,0,1.97758,781.932,2.59513,0.002901,0.002901,0.002901
7,302.591,1.84505,3.18869,2.03254,0.67546,0.23611,0.21036,0.09859,1.85586,2.50241,2.41433,0.0028812,0.0028812,0.0028812
8,346.892,1.86156,3.19925,2.01623,0.74699,0.21704,0.21309,0.10638,1.81458,2.3326,2.40228,0.0028614,0.0028614,0.0028614
9,391.254,1.74679,2.97219,1.88901,0.61877,0.34722,0.21194,0.09884,1.72592,2.29657,2.29826,0.0028416,0.0028416,0.0028416
10,439.031,1.83092,2.99975,1.95365,0.54601,0.06944,0.0553,0.02231,2.11683,3.12315,2.59627,0.0028218,0.0028218,0.0028218
11,484.358,1.90486,3.17086,2.11674,0.73473,0.25816,0.21147,0.08256,1.84956,2.38148,2.35628,0.002802,0.002802,0.002802
12,527.312,1.73764,2.87256,1.84375,0.79578,0.2817,0.31095,0.1467,1.74909,2.11893,2.32828,0.0027822,0.0027822,0.0027822
13,571.636,1.71871,2.96198,1.82078,0.75917,0.29167,0.28045,0.12885,1.78654,2.08213,2.33544,0.0027624,0.0027624,0.0027624
14,615.165,1.7403,2.81668,1.83975,0.18861,0.36111,0.31097,0.15684,1.7209,1.87685,2.24794,0.0027426,0.0027426,0.0027426
15,660.464,1.68976,2.86468,1.86688,0.20748,0.29167,0.34969,0.14238,1.78828,2.10061,2.29999,0.0027228,0.0027228,0.0027228
16,704.93,1.68294,2.76996,1.82103,0.74434,0.19444,0.25656,0.12097,1.81437,2.13055,2.32315,0.002703,0.002703,0.002703
17,748.839,1.6264,2.71806,1.75201,0.30696,0.32052,0.32127,0.1463,1.69831,2.12064,2.26754,0.0026832,0.0026832,0.0026832
18,792.669,1.68284,2.62381,1.8108,0.75699,0.29167,0.3601,0.14486,1.72583,2.03384,2.27013,0.0026634,0.0026634,0.0026634
19,836.029,1.71679,2.72252,1.90057,0.69869,0.20833,0.30567,0.14401,1.84898,2.2454,2.31099,0.0026436,0.0026436,0.0026436
20,880.832,1.82837,2.89378,1.90648,0.30006,0.37379,0.33689,0.15573,1.7571,1.99622,2.23503,0.0026238,0.0026238,0.0026238
21,926.733,1.66248,2.62993,1.79875,0.47386,0.38889,0.36419,0.17341,1.75465,2.08993,2.25449,0.002604,0.002604,0.002604
22,972.818,1.64937,2.56768,1.79797,0.36284,0.49755,0.39947,0.19662,1.72419,1.99497,2.23659,0.0025842,0.0025842,0.0025842
23,1018.48,1.73461,2.71404,1.87041,0.84958,0.31944,0.48697,0.22154,1.73049,1.98189,2.23725,0.0025644,0.0025644,0.0025644
24,1064.22,1.63803,2.67197,1.74023,0.28718,0.25,0.29034,0.16244,1.67727,2.38286,2.17391,0.0025446,0.0025446,0.0025446
25,1108.1,1.59148,2.59095,1.69735,0.40822,0.54861,0.45554,0.19874,1.80235,1.9071,2.31619,0.0025248,0.0025248,0.0025248
