epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8994,2.37398,7.30297,2.26203,0.13415,0.15278,0.09518,0.0321,1.95676,60.2291,3.00708,0.0679361,0.000991667,0.000991667
2,60.7004,2.25193,3.98716,2.26031,0.0252,0.4375,0.02046,0.00563,2.14443,24.2738,2.86419,0.0355896,0.00197852,0.00197852
3,90.8947,2.29123,4.01062,2.25471,0.61976,0.11111,0.08686,0.02411,2.62428,3.91182,5.21618,0.00322995,0.00295218,0.00295218
4,121.08,2.16071,3.69655,2.15892,0,0,0,0,nan,nan,nan,0.0029406,0.0029406,0.0029406
5,151.207,2.13642,3.60652,2.11595,0.68046,0.06944,0.05128,0.02784,2.35857,4.70028,3.17947,0.0029208,0.0029208,0.0029208
6,181.288,2.05697,3.55254,2.11797,0.11429,0.09722,0.06979,0.0277,2.22823,3.88676,2.77984,0.002901,0.002901,0.002901
7,212.051,2.07637,3.36685,2.21924,0,0,0,0,2.58299,42.6639,13.0267,0.0028812,0.0028812,0.0028812
8,242.229,2.06575,3.58977,2.12642,0.71925,0.02778,0.14488,0.06914,2.03545,3.2891,2.39129,0.0028614,0.0028614,0.0028614
9,272.832,1.9805,3.53366,2.09088,0.64775,0.18056,0.21344,0.10565,1.85487,2.40705,2.31077,0.0028416,0.0028416,0.0028416
10,303.464,2.01941,3.23942,2.11973,0.25636,0.20833,0.24863,0.11477,1.80194,2.57675,2.23896,0.0028218,0.0028218,0.0028218
11,334.243,2.04695,3.1981,2.14639,0.76726,0.23611,0.22253,0.11133,1.78294,2.328,2.16216,0.002802,0.002802,0.002802
12,364.608,1.99657,3.1251,2.05433,0.64893,0.09722,0.0979,0.04222,2.38073,7.86954,2.87162,0.0027822,0.0027822,0.0027822
13,394.771,1.96304,3.20098,1.99395,0.73482,0.18056,0.22642,0.09241,1.8066,2.31031,2.21444,0.0027624,0.0027624,0.0027624
14,424.848,1.95942,3.12613,2.01533,0.16782,0.18056,0.14073,0.06866,1.93928,2.59731,2.39259,0.0027426,0.0027426,0.0027426
15,455.089,1.99725,3.32266,2.06875,0.74741,0.08175,0.11059,0.05225,2.09414,4.41755,2.46299,0.0027228,0.0027228,0.0027228
16,485.337,1.93622,3.12227,2.02459,0.65812,0.29167,0.23918,0.11353,1.86439,2.12251,2.29095,0.002703,0.002703,0.002703
17,515.581,1.89362,3.21804,1.9791,0.71729,0.31944,0.43832,0.15458,1.69888,2.16057,2.18025,0.0026832,0.0026832,0.0026832
18,546.282,1.91738,2.97528,1.97937,0.36947,0.58333,0.40195,0.16145,1.79276,2.00414,2.15111,0.0026634,0.0026634,0.0026634
19,576.884,2.00457,2.87272,2.04299,0.40104,0.45833,0.42021,0.1952,1.82147,1.87145,2.2573,0.0026436,0.0026436,0.0026436
20,607.466,2.0484,3.0313,2.05757,0.28519,0.20297,0.24968,0.11405,1.83552,2.53209,2.23406,0.0026238,0.0026238,0.0026238
21,637.577,1.97552,2.93839,2.07586,0.32408,0.38194,0.34402,0.15611,1.80826,1.91642,2.2883,0.002604,0.002604,0.002604
22,667.639,1.85837,2.69522,1.98542,0.25021,0.48611,0.28635,0.13127,1.8232,2.00461,2.30577,0.0025842,0.0025842,0.0025842
23,697.738,1.84431,2.93931,1.96831,0.7304,0.30556,0.48,0.22662,1.70642,2.06874,2.19885,0.0025644,0.0025644,0.0025644
24,728.3,1.97806,3.11521,2.02287,0.54632,0.43056,0.44159,0.174,1.73037,2.13203,2.22825,0.0025446,0.0025446,0.0025446
25,758.393,1.88034,2.82271,1.96473,0.41061,0.42905,0.41869,0.16785,1.78964,2.17938,2.24365,0.0025248,0.0025248,0.0025248
26,788.429,1.89525,3.05423,1.96897,0.47943,0.20139,0.27369,0.1319,1.79328,2.62939,2.17289,0.002505,0.002505,0.002505
27,818.51,1.86885,2.79788,1.93671,0.78552,0.25,0.31423,0.15355,1.72577,1.96167,2.24304,0.0024852,0.0024852,0.0024852
28,848.588,1.83517,2.95818,1.9586,0.35085,0.21528,0.32028,0.16768,1.70172,2.34366,2.1241,0.0024654,0.0024654,0.0024654
29,878.682,1.87667,3.02082,1.92227,0.3512,0.38194,0.37517,0.17915,1.72473,1.99566,2.17028,0.0024456,0.0024456,0.0024456
30,908.778,1.86615,2.92059,1.95999,0.77609,0.25,0.30444,0.14341,1.75531,2.00359,2.1827,0.0024258,0.0024258,0.0024258
31,938.935,1.89521,2.91588,1.9522,0.46795,0.34722,0.38263,0.20475,1.69759,1.9424,2.07657,0.002406,0.002406,0.002406
32,969.055,1.88482,2.72388,1.90763,0.35466,0.33189,0.39284,0.19851,1.70406,2.03117,2.10666,0.0023862,0.0023862,0.0023862
33,1000.44,1.82835,2.67541,1.91511,0.87408,0.23611,0.33906,0.15114,1.7177,1.96251,2.14486,0.0023664,0.0023664,0.0023664
34,1031.98,1.84248,2.71039,1.93068,0.82519,0.27778,0.42244,0.18352,1.64475,1.92608,2.06986,0.0023466,0.0023466,0.0023466
35,1063.18,1.89101,2.7313,1.98058,0.30513,0.43616,0.41437,0.19045,1.66241,1.77968,2.11594,0.0023268,0.0023268,0.0023268
36,1094,1.91352,2.7827,1.96661,0.81508,0.33333,0.3739,0.18151,1.67335,1.77799,2.08696,0.002307,0.002307,0.002307
37,1124.49,1.83244,2.73713,1.87345,0.86637,0.29167,0.47011,0.23608,1.60216,1.70391,2.05389,0.0022872,0.0022872,0.0022872
38,1155.43,1.85212,2.6412,1.9427,0.70142,0.40972,0.40516,0.21157,1.60406,1.88062,2.046,0.0022674,0.0022674,0.0022674
39,1185.86,1.78023,2.78142,1.85266,0.31773,0.54861,0.45151,0.20111,1.59924,1.76481,2.01504,0.0022476,0.0022476,0.0022476
40,1216.27,1.78368,2.63537,1.87629,0.49546,0.48798,0.47814,0.21714,1.59794,1.74409,2.03798,0.0022278,0.0022278,0.0022278
41,1246.72,1.8465,2.72372,1.87868,0.72084,0.27778,0.25891,0.11638,1.65883,2.21297,2.03622,0.002208,0.002208,0.002208
42,1277.05,1.83579,2.81707,1.90612,0.17969,0.29167,0.2665,0.13349,1.64234,1.96941,2.0365,0.0021882,0.0021882,0.0021882
43,1307.44,1.75987,2.61491,1.91387,0.3104,0.58581,0.41331,0.20067,1.58553,1.7369,2.08839,0.0021684,0.0021684,0.0021684
44,1337.95,1.82477,2.62291,1.93222,0.45686,0.44444,0.42785,0.20973,1.57491,1.85882,2.07591,0.0021486,0.0021486,0.0021486
45,1368.35,1.82002,2.55209,1.86911,0.21971,0.40278,0.47828,0.21405,1.62014,1.70793,2.0966,0.0021288,0.0021288,0.0021288
46,1398.93,1.83493,2.64506,1.90312,0.25052,0.39196,0.47589,0.20816,1.58684,1.82176,2.04321,0.002109,0.002109,0.002109
47,1429.02,1.78239,2.60909,1.83744,0.27642,0.49306,0.4339,0.17527,1.74225,1.83097,2.13232,0.0020892,0.0020892,0.0020892
48,1459.17,1.91554,2.60633,1.98049,0.27088,0.51389,0.43186,0.19295,1.67726,1.69504,2.11693,0.0020694,0.0020694,0.0020694
49,1489.16,1.77645,2.50335,1.89782,0.40692,0.48611,0.37506,0.18004,1.72409,1.78154,2.14837,0.0020496,0.0020496,0.0020496
50,1519.1,1.80056,2.63072,1.88567,0.23916,0.4348,0.35545,0.16232,1.62919,1.81798,2.07608,0.0020298,0.0020298,0.0020298
51,1549.05,1.78876,2.63188,1.86751,0.36772,0.55899,0.49621,0.21797,1.62874,1.62374,2.08903,0.00201,0.00201,0.00201
52,1579.01,1.79947,2.57451,1.87261,0.4452,0.57389,0.48736,0.219,1.63791,1.6351,2.09209,0.0019902,0.0019902,0.0019902
53,1609.05,1.72381,2.46996,1.84443,0.35676,0.52778,0.46268,0.21237,1.66675,1.63342,2.11148,0.0019704,0.0019704,0.0019704
54,1639.02,1.78708,2.45843,1.91646,0.33361,0.64456,0.46717,0.21637,1.6406,1.76222,2.07057,0.0019506,0.0019506,0.0019506
55,1669,1.82526,2.58689,1.96677,0.78861,0.30556,0.51556,0.23868,1.65885,1.96855,2.04264,0.0019308,0.0019308,0.0019308
56,1699.56,1.78193,2.47644,1.91408,0.38942,0.49736,0.55362,0.23729,1.65187,1.52659,2.09512,0.001911,0.001911,0.001911
57,1731.08,1.7054,2.47192,1.8435,0.42867,0.34028,0.41655,0.21981,1.55503,1.94068,2.01049,0.0018912,0.0018912,0.0018912
58,1761.59,1.8036,2.62795,1.92401,0.34815,0.38194,0.38635,0.19836,1.6285,1.8335,2.06287,0.0018714,0.0018714,0.0018714
59,1792.11,1.71046,2.42712,1.83213,0.68892,0.40972,0.47018,0.24933,1.67069,1.66568,2.09697,0.0018516,0.0018516,0.0018516
60,1823.19,1.72502,2.48089,1.84086,0.6476,0.39583,0.50071,0.25186,1.67479,1.71135,2.13265,0.0018318,0.0018318,0.0018318
61,1854.14,1.82967,2.57077,1.9539,0.67825,0.34028,0.47499,0.25036,1.60578,1.62623,2.07105,0.001812,0.001812,0.001812
62,1884.46,1.79416,2.2984,1.86866,0.52992,0.4375,0.47315,0.23991,1.59822,1.56857,2.03291,0.0017922,0.0017922,0.0017922
63,1914.8,1.71847,2.46853,1.81622,0.36775,0.46528,0.41415,0.20265,1.6376,1.69384,2.07592,0.0017724,0.0017724,0.0017724
64,1945.25,1.83757,2.56164,1.88147,0.39244,0.52778,0.44843,0.20379,1.60044,1.67783,2.04419,0.0017526,0.0017526,0.0017526
65,1975.6,1.78374,2.39276,1.85435,0.464,0.54371,0.53957,0.2573,1.51451,1.57713,1.96717,0.0017328,0.0017328,0.0017328
66,2006.4,1.70405,2.29677,1.85598,0.3625,0.49151,0.46861,0.24083,1.46409,1.59321,1.93436,0.001713,0.001713,0.001713
67,2036.83,1.78517,2.5424,1.86442,0.86895,0.31944,0.40657,0.21544,1.56883,1.771,1.99289,0.0016932,0.0016932,0.0016932
68,2067.15,1.7661,2.47093,1.85875,0.9105,0.38232,0.5107,0.262,1.5306,1.47799,1.9716,0.0016734,0.0016734,0.0016734
69,2097.84,1.69751,2.40229,1.85178,0.45747,0.5309,0.51227,0.27643,1.48946,1.61082,1.97572,0.0016536,0.0016536,0.0016536
70,2128.63,1.78481,2.62506,1.92427,0.4301,0.5625,0.537,0.25438,1.58375,1.62844,2.05152,0.0016338,0.0016338,0.0016338
71,2158.83,1.73968,2.50492,1.87964,0.77129,0.42361,0.5751,0.28971,1.5246,1.48474,1.97743,0.001614,0.001614,0.001614
72,2189.44,1.65912,2.24721,1.81453,0.61751,0.53472,0.56487,0.26812,1.55111,1.57289,1.9924,0.0015942,0.0015942,0.0015942
