epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.45565,2.22464,8.07167,2.20049,0,0,0,0,1.80363,4.395,1.82787,0.07769,0.00069,0.00069
2,18.8365,2.12486,3.83212,1.96463,0.28125,0.125,0.18906,0.08851,1.77469,4.31109,1.80424,0.0544007,0.00140069,0.00140069
3,28.9495,2.15445,3.26356,2.00932,0.8197,0.09862,0.3047,0.09888,2.1029,3.10762,2.84613,0.0311019,0.00210188,0.00210188
4,37.0927,2.07658,3.15554,2.01101,0.2187,0.16667,0.16902,0.06689,2.19972,2.44525,2.66615,0.00779357,0.00279357,0.00279357
5,45.4028,1.94122,3.01669,1.95309,1,0.01389,0.03338,0.01447,2.15676,145.968,2.73376,0.0029208,0.0029208,0.0029208
6,54.9376,2.02666,3.15559,2.02402,0.741,0.15278,0.13562,0.0604,1.69854,9.56193,2.04517,0.002901,0.002901,0.002901
7,62.9256,1.92078,2.95925,1.91943,0.55512,0.19444,0.15534,0.06668,1.80018,31.429,2.0267,0.0028812,0.0028812,0.0028812
8,70.3939,1.90757,2.86345,1.85045,0.56559,0.05556,0.04149,0.0245,2.0598,43.9212,2.12121,0.0028614,0.0028614,0.0028614
9,77.8199,1.88005,2.8274,1.84617,0.29684,0.29167,0.27213,0.11669,1.67302,8.27567,1.97526,0.0028416,0.0028416,0.0028416
10,85.144,1.87559,2.70507,1.89957,0.23547,0.4375,0.33685,0.13716,1.49658,1.8936,1.82062,0.0028218,0.0028218,0.0028218
11,92.4847,1.93382,2.64967,1.93819,0.17682,0.42361,0.17631,0.08891,1.72882,3.36588,1.94299,0.002802,0.002802,0.002802
12,99.9045,1.8911,2.61738,1.90965,0.42857,0.46528,0.41429,0.20226,1.5307,3.47024,1.88583,0.0027822,0.0027822,0.0027822
13,107.309,1.9103,2.73742,1.86647,0.65422,0.25,0.18708,0.08817,1.61716,2.56969,1.8936,0.0027624,0.0027624,0.0027624
14,114.644,1.9115,2.60585,1.92426,0.57011,0.18056,0.2532,0.09733,1.44033,2.91195,1.84705,0.0027426,0.0027426,0.0027426
15,122.028,1.98117,2.79505,2.04736,0.22909,0.30556,0.20956,0.0856,1.94551,3.00915,2.32392,0.0027228,0.0027228,0.0027228
16,129.411,1.83119,2.51257,1.88841,0.66002,0.16667,0.0805,0.02346,2.77906,2.90076,3.19918,0.002703,0.002703,0.002703
17,136.759,1.92624,2.51914,1.9116,0.37332,0.21428,0.24311,0.11477,1.50874,2.76343,1.85743,0.0026832,0.0026832,0.0026832
18,144.018,1.84741,2.50536,1.84704,0.3152,0.5,0.32783,0.16351,1.53761,1.74332,1.8716,0.0026634,0.0026634,0.0026634
19,151.373,1.87934,2.44347,1.86013,0.82064,0.29805,0.32695,0.17515,1.48579,1.60072,1.79968,0.0026436,0.0026436,0.0026436
20,158.709,1.85349,2.54411,1.8819,0.23293,0.27778,0.2294,0.08399,1.85645,1.88431,2.22293,0.0026238,0.0026238,0.0026238
