epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4692,2.35989,19.165,2.43293,0.63494,0.15278,0.09087,0.03622,1.96799,3.83325,2.74867,0.0682056,0.000983333,0.000983333
2,28.9423,2.21676,3.90204,2.33464,0.5664,0.29167,0.1422,0.0638,1.9544,23.1249,2.58202,0.0358591,0.00197024,0.00197024
3,43.7291,2.14129,3.49602,2.28946,0.61865,0.06944,0.0544,0.02055,2.92625,44.5716,3.2897,0.00349951,0.00294395,0.00294395
4,57.8792,2.07768,3.51238,2.17969,0.71994,0.01389,0.00638,0.00383,3.3032,5.08466,16.7511,0.0029406,0.0029406,0.0029406
5,72.0351,2.07121,3.39318,2.19222,0.72788,0.16667,0.19922,0.08266,2.08727,2.48546,2.60755,0.0029208,0.0029208,0.0029208
6,86.6895,2.09227,3.4391,2.23054,0.64195,0.14874,0.08826,0.03026,2.0348,3.40158,2.50646,0.002901,0.002901,0.002901
7,100.893,2.06163,3.18329,2.22666,0.78762,0.25,0.2563,0.12421,1.7664,2.12657,2.29012,0.0028812,0.0028812,0.0028812
8,116.569,2.00346,3.24688,2.13263,0.05629,0.125,0.03344,0.01452,2.01948,4.65898,2.5051,0.0028614,0.0028614,0.0028614
9,130.317,1.98808,3.35225,2.1517,0.69337,0.21903,0.20639,0.06563,2.22694,2.26764,2.73126,0.0028416,0.0028416,0.0028416
10,144.231,2.02048,2.98353,2.14108,0.27499,0.29167,0.26172,0.11934,1.83059,2.77241,2.43325,0.0028218,0.0028218,0.0028218
11,158.967,2.05158,2.89534,2.24009,0.73418,0.31816,0.20067,0.08372,2.2072,2.78385,2.7938,0.002802,0.002802,0.002802
12,173.501,1.99094,2.85553,2.1415,0.29101,0.42361,0.34721,0.13929,1.7265,1.94349,2.26501,0.0027822,0.0027822,0.0027822
13,188.537,1.97781,3.15543,2.11492,0.69952,0.27778,0.25651,0.11218,1.71622,3.30594,2.2731,0.0027624,0.0027624,0.0027624
14,203.471,1.98874,2.91845,2.10935,0.24626,0.25,0.29424,0.14679,1.72453,3.28727,2.21573,0.0027426,0.0027426,0.0027426
15,218.043,1.98954,2.98979,2.16007,0.28862,0.45139,0.32289,0.15313,1.63532,1.99551,2.15836,0.0027228,0.0027228,0.0027228
16,232.355,1.91081,2.89691,2.06665,0.75579,0.19444,0.23916,0.09518,1.74004,2.32492,2.26944,0.002703,0.002703,0.002703
17,246.44,1.91222,2.93151,2.0288,0.31785,0.36111,0.25951,0.11861,1.74565,2.23565,2.20826,0.0026832,0.0026832,0.0026832
18,260.341,1.95479,2.7901,2.08229,0.42449,0.46528,0.40564,0.19053,1.60536,1.87956,2.12424,0.0026634,0.0026634,0.0026634
19,274.568,1.88328,2.66152,2.0394,0.51637,0.44368,0.43162,0.21403,1.63527,1.83678,2.1426,0.0026436,0.0026436,0.0026436
20,288.981,1.92005,2.93711,2.06294,0.48198,0.31248,0.36324,0.16325,1.70061,2.16781,2.2378,0.0026238,0.0026238,0.0026238
21,303.07,1.86653,2.68071,2.02508,0.42847,0.48611,0.43309,0.1981,1.64884,1.60316,2.14796,0.002604,0.002604,0.002604
22,317.071,1.86283,2.54656,2.04039,0.73548,0.46164,0.49024,0.2076,1.68851,1.89726,2.18971,0.0025842,0.0025842,0.0025842
23,331.268,1.92319,2.72852,2.05246,0.24686,0.44953,0.37847,0.1944,1.62145,2.10668,2.12197,0.0025644,0.0025644,0.0025644
24,345.412,1.92657,2.85033,2.00253,0.80558,0.29167,0.29415,0.13916,1.80282,1.93259,2.26045,0.0025446,0.0025446,0.0025446
25,359.315,1.80349,2.76705,1.9392,0.838,0.27778,0.37506,0.16955,1.59533,1.76935,2.09642,0.0025248,0.0025248,0.0025248
26,373.373,1.86194,2.80738,1.97034,0.41333,0.48025,0.3593,0.16373,1.62856,1.9503,2.09028,0.002505,0.002505,0.002505
27,387.362,1.81717,2.59267,1.97317,0.4374,0.50616,0.47302,0.22695,1.57908,1.79402,2.08617,0.0024852,0.0024852,0.0024852
28,401.595,1.86127,2.6674,2.05141,0.48537,0.35788,0.43848,0.19663,1.65782,1.84714,2.12735,0.0024654,0.0024654,0.0024654
29,416.206,1.95312,2.84338,2.0353,0.41928,0.45588,0.43402,0.21218,1.5481,1.70241,2.05789,0.0024456,0.0024456,0.0024456
30,430.253,1.79804,2.6009,1.94787,0.87284,0.28519,0.44163,0.1721,1.58963,1.71635,2.08598,0.0024258,0.0024258,0.0024258
31,444.28,1.80433,2.64592,1.96648,0.20832,0.42361,0.32524,0.14022,1.63217,1.8775,2.12796,0.002406,0.002406,0.002406
32,458.347,1.86502,2.58761,1.92715,0.64184,0.51262,0.52558,0.21617,1.6558,1.81602,2.14085,0.0023862,0.0023862,0.0023862
33,472.546,1.79979,2.59225,1.94915,0.44745,0.53394,0.50319,0.2084,1.5907,1.63804,2.0964,0.0023664,0.0023664,0.0023664
34,486.579,1.86585,2.61544,2.05226,0.42871,0.52083,0.53258,0.22025,1.53007,1.65686,2.10776,0.0023466,0.0023466,0.0023466
35,500.643,1.81037,2.58754,2.00535,0.38208,0.52751,0.47586,0.22837,1.55498,1.71997,2.07222,0.0023268,0.0023268,0.0023268
36,514.924,1.81687,2.51282,1.97341,0.56307,0.50694,0.44444,0.19093,1.55221,1.65331,2.03949,0.002307,0.002307,0.002307
37,529.054,1.83855,2.53006,1.97537,0.40956,0.58333,0.45181,0.20688,1.55367,1.67204,2.03576,0.0022872,0.0022872,0.0022872
38,543.165,1.80626,2.55938,1.9179,0.46171,0.58333,0.45718,0.20584,1.52204,1.76788,2.0381,0.0022674,0.0022674,0.0022674
39,557.586,1.81319,2.44929,1.94053,0.31673,0.52778,0.5383,0.23101,1.58728,1.62137,2.05597,0.0022476,0.0022476,0.0022476
40,573.757,1.79865,2.49805,1.9685,0.31992,0.49306,0.42575,0.20079,1.52685,1.52324,2.01648,0.0022278,0.0022278,0.0022278
41,589.1,1.79199,2.52419,1.90703,0.4746,0.70833,0.53556,0.23861,1.55022,1.69693,2.03943,0.002208,0.002208,0.002208
42,605.144,1.8279,2.45189,1.99835,0.38839,0.52449,0.54137,0.26337,1.55614,1.52301,2.04193,0.0021882,0.0021882,0.0021882
43,619.062,1.76011,2.41939,1.94252,0.40749,0.5,0.49892,0.23951,1.53496,1.55712,1.99584,0.0021684,0.0021684,0.0021684
44,632.731,1.81342,2.39499,1.97568,0.89,0.23611,0.44847,0.18507,1.48827,1.85221,1.97451,0.0021486,0.0021486,0.0021486
45,646.376,1.76691,2.31639,1.89486,0.3667,0.70833,0.57836,0.24636,1.45759,1.53837,2.00521,0.0021288,0.0021288,0.0021288
46,659.999,1.87035,2.42834,1.93919,0.37272,0.50694,0.42153,0.18367,1.51057,1.71278,2.03731,0.002109,0.002109,0.002109
47,673.606,1.72572,2.41379,1.92395,0.8169,0.36111,0.39771,0.18746,1.52858,1.49563,2.02731,0.0020892,0.0020892,0.0020892
48,687.278,1.74631,2.32841,1.90723,0.32827,0.54167,0.51887,0.22656,1.47117,1.45455,2.01185,0.0020694,0.0020694,0.0020694
49,700.896,1.77889,2.30969,1.91987,0.32084,0.58333,0.41254,0.2128,1.49865,1.62265,1.98012,0.0020496,0.0020496,0.0020496
50,714.549,1.76762,2.31147,1.91756,0.42671,0.52464,0.45423,0.23203,1.53499,1.76025,2.00275,0.0020298,0.0020298,0.0020298
51,728.156,1.79372,2.46193,1.96248,0.41897,0.70833,0.6172,0.26795,1.45562,1.32786,1.98511,0.00201,0.00201,0.00201
52,741.97,1.76175,2.35136,1.8875,0.36017,0.52072,0.46298,0.23475,1.4469,1.47784,2.00191,0.0019902,0.0019902,0.0019902
53,755.557,1.74309,2.27039,1.91377,0.39174,0.47917,0.47559,0.23617,1.43053,1.38283,1.96969,0.0019704,0.0019704,0.0019704
54,769.144,1.72468,2.16277,1.87529,0.35259,0.61806,0.52665,0.2278,1.5228,1.54909,2.02917,0.0019506,0.0019506,0.0019506
55,782.722,1.7319,2.1792,1.93201,0.48506,0.61092,0.55044,0.23958,1.48457,1.4496,2.01791,0.0019308,0.0019308,0.0019308
56,796.427,1.7682,2.26225,1.93359,0.49582,0.68383,0.6219,0.27802,1.4313,1.27134,1.96938,0.001911,0.001911,0.001911
57,810.254,1.69451,2.32329,1.87408,0.37522,0.39583,0.43644,0.22086,1.48204,1.62574,2.0047,0.0018912,0.0018912,0.0018912
58,823.813,1.76406,2.31158,1.93819,0.47714,0.5,0.49985,0.25638,1.40536,1.43551,1.95175,0.0018714,0.0018714,0.0018714
59,837.356,1.64533,2.29544,1.8383,0.4636,0.43056,0.46148,0.23288,1.48022,1.65011,1.99328,0.0018516,0.0018516,0.0018516
60,850.99,1.68551,2.22365,1.84899,0.51152,0.40972,0.50389,0.22618,1.49138,1.4989,2.022,0.0018318,0.0018318,0.0018318
61,864.614,1.66484,2.25448,1.87333,0.51192,0.54861,0.59302,0.26764,1.4437,1.48213,1.96855,0.001812,0.001812,0.001812
62,878.2,1.75539,2.19381,1.90811,0.44427,0.67827,0.61513,0.28361,1.46082,1.4403,1.93776,0.0017922,0.0017922,0.0017922
63,891.963,1.68383,2.28169,1.80801,0.2848,0.54167,0.47534,0.25064,1.45036,1.46295,1.93751,0.0017724,0.0017724,0.0017724
64,905.576,1.67962,2.27707,1.81924,0.89906,0.36111,0.4866,0.2575,1.41951,1.37303,1.94336,0.0017526,0.0017526,0.0017526
